colony	gene	allele
Tp53_10076	Trp53inp1	Trp53inp1<tm1Acar>
Arl4_10078	Arl4a	Arl4a<tm1Asch>
FoxP2_10079	Foxp2	Foxp2<tm1Woen>
Glut8_10081	Slc2a8	Slc2a8<tm1.1Asch>
EUC FP00052B10_10083	Irf1	Irf1<tm1a(EUCOMM)Wtsi>
mPtpg_10085	Nipal3	Nipal3<tm1Pbfd>
Eya3_10086	Eya3	Eya3<Gt(W096D02)Wrst>
Vimentin_10087	Vim	Vim<tm2Cba>
Eyl_10089	Pitx3	Pitx3<eyl>
NULL	Acot13	Acot13<tm1a(EUCOMM)Wtsi>
M076C04_10094	Nkain4	Nkain4<Gt(M076C04)Vmel>
EPD0028_5_G01_10095	Hdac1	Hdac1<tm1a(EUCOMM)Wtsi>
EPD0051_2_D09_10096	Plxnb2	Plxnb2<tm1a(EUCOMM)Wtsi>
EUCJ0004_F10_10098	Nfya	Nfya<Gt(EUCJ0004f10)Hmgu>
EPD0156_1_B01_10099	Entpd1	Entpd1<tm1a(EUCOMM)Wtsi>
EPD0060_1_B12_10100	Hgs	Hgs<tm1a(EUCOMM)Wtsi>
EPD0087_1_G04_10101	Fermt2	Fermt2<tm1a(EUCOMM)Wtsi>
EUCJ0019_C12_10102	Pml	
EPD0155_1_D04_10103	Myl4	Myl4<tm1a(EUCOMM)Wtsi>
DNase-X_10104	Dnase1l1	Dnase1l1<tm1Dkfz>
NR1D1_10105	Nr1d1	Nr1d1
Nr6a1_10107	Nr6a1	Nr6a1
Nr3c2_10108	Nr3c2	Nr3c2
Nr0b2_10109	Nr0b2	Nr0b2
Nr2b3_10110	Rxrg	Rxrg
EPD0060_2_A11_10111	Smpdl3b	Smpdl3b<tm1a(EUCOMM)Wtsi>
129P2/OlaHsd-Map3k1<tm1H>/H_10115	Map3k1	Map3k1<tm1H>
B6J.Cg-Sfrp2<I153N>/H_10116	Sfrp2	Sfrp2<I153N>
EPD0065_4_D03_10117	Bre	Bre<tm1a(EUCOMM)Wtsi>
129P2/OlaHsd-Map3k1<Gt(YTC001)Byg>/H_10118	Map3k1	Map3k1<Gt(YTC001)Byg>
EPD0183_3_C02_10119	Ggt1	Ggt1<tm1a(EUCOMM)Wtsi>
EPD0100_4_A06_10120	Elk4	Elk4<tm1a(EUCOMM)Wtsi>
EPD0143_2_C03_10121	Cisd2	Cisd2<tm1a(EUCOMM)Wtsi>
C3H.Cg-Ankrd11<Yod>/H_10122	Ankrd11	Ankrd11<Yod>
HEPD0522-3-C07_10123	Gm5134	Gm5134<tm1a(EUCOMM)Hmgu>
internal_10125	NULL	Rev-Erba
EPD0183_3_F08_10126	Dlec1	Dlec1<tm1a(EUCOMM)Wtsi>
EPD0102_1_D06_10127	Arvcf	Arvcf<tm1a(EUCOMM)Wtsi>
EUCF0030A12_10128	Sorbs1	unknown
HEPD0073_3_C11_10129	Wbscr16	Wbscr16<tm1a(EUCOMM)Hmgu>
Nr1i2_10130	Nr1i2	Nr1i2
Snx5_10131	Snx5	Snx5
EPD0023_2_D12_10132	Tcf7	Tcf7<tm1a(EUCOMM)Wtsi> 
EPD0518_6_B02_10133	Ephx1	Ephx1
EPD0117_1_C02_10134	Tmem68	Tmem68<tm1a(EUCOMM)Wtsi> 
EPD0177_2_H03_10135	Ino80e	Ino80e<tm1a(EUCOMM)Wtsi>
EPD0080_1_B11_10136	Asxl1	Asxl1<tm1a(EUCOMM)Wtsi>
FoxP2delta ex7_10137	Foxp2	Foxp2<tm2.1Woen>
EPD0147_3_D05_10138	Gpn1	Gpn1<tm1a(EUCOMM)Wtsi>
EPD0116_3_D06_10139	Cidec	Cidec<tm1a(EUCOMM)Wtsi>
EPD0059_2_G04_10140	Wrnip1	Wrnip1<tm1a(EUCOMM)Wtsi>
EUC0054A05_10141	Actn1	Actn1<Gt(EUC0054a05)Hmgu>
